"","ID","class","land_cover","Year"
"563","C206-S1","Developed, Open Space",175,2015
"564","C206-S1","Developed, Open Space",175,2016
"565","C206-S1","Developed, Open Space",175,2017
"566","C206-S1","Developed, Open Space",175,2018
"567","C206-S1","Developed, Open Space",175,2019
"568","C206-S1","Developed, Open Space",175,2020
"569","C206-S1","Developed, Open Space",175,2021
"570","C206-S1","Developed, Open Space",175,2022
"571","C206-S2","Developed, Open Space",417,2013
"572","C206-S2","Developed, Open Space",416,2014
"573","C206-S2","Developed, Open Space",416,2015
"574","C206-S2","Developed, Open Space",415,2016
"575","C206-S2","Developed, Open Space",414,2017
"576","C206-S2","Developed, Open Space",413,2018
"577","C206-S2","Developed, Open Space",412,2019
"578","C206-S2","Developed, Open Space",411,2020
"579","C206-S2","Developed, Open Space",411,2021
"580","C206-S2","Developed, Open Space",410,2022
"581","C207-S1","Developed, Open Space",99,2013
"582","C207-S1","Developed, Open Space",99,2014
"583","C207-S1","Developed, Open Space",99,2015
"584","C207-S1","Developed, Open Space",99,2016
"585","C207-S1","Developed, Open Space",99,2017
"586","C207-S1","Developed, Open Space",98,2018
"587","C207-S1","Developed, Open Space",98,2019
"588","C207-S1","Developed, Open Space",98,2020
"589","C207-S1","Developed, Open Space",98,2021
"590","C207-S1","Developed, Open Space",98,2022
"591","C207-S2","Developed, Open Space",103,2013
"592","C207-S2","Developed, Open Space",103,2014
"593","C207-S2","Developed, Open Space",103,2015
"594","C207-S2","Developed, Open Space",103,2016
"595","C207-S2","Developed, Open Space",103,2017
"596","C207-S2","Developed, Open Space",102,2018
"597","C207-S2","Developed, Open Space",102,2019
"598","C207-S2","Developed, Open Space",102,2020
"599","C207-S2","Developed, Open Space",102,2021
"600","C207-S2","Developed, Open Space",102,2022
"601","C208-S1","Developed, Open Space",266,2013
"602","C208-S1","Developed, Open Space",266,2014
"603","C208-S1","Developed, Open Space",265,2015
"604","C208-S1","Developed, Open Space",265,2016
